t_local_s,timestamp,power_W,util_pct,mem_used_MiB,mem_total_MiB
0.448,2025/09/19 17:23:21.787,112.56,93.00,15393.00,24564.00
0.550,2025/09/19 17:23:21.888,123.01,93.00,15393.00,24564.00
0.650,2025/09/19 17:23:21.988,132.02,93.00,15393.00,24564.00
0.751,2025/09/19 17:23:22.089,139.64,93.00,15393.00,24564.00
0.852,2025/09/19 17:23:22.190,146.40,93.00,15393.00,24564.00
0.952,2025/09/19 17:23:22.290,152.40,93.00,15393.00,24564.00
1.058,2025/09/19 17:23:22.391,156.20,84.00,15393.00,24564.00
1.154,2025/09/19 17:23:22.492,250.57,84.00,15393.00,24564.00
1.254,2025/09/19 17:23:22.592,251.97,93.00,15393.00,24564.00
1.355,2025/09/19 17:23:22.693,254.03,93.00,15393.00,24564.00
1.456,2025/09/19 17:23:22.794,254.34,94.00,15393.00,24564.00
1.557,2025/09/19 17:23:22.894,254.00,94.00,15393.00,24564.00
1.658,2025/09/19 17:23:22.995,253.70,94.00,15393.00,24564.00
1.758,2025/09/19 17:23:23.096,253.49,94.00,15393.00,24564.00
1.859,2025/09/19 17:23:23.196,253.60,94.00,15395.00,24564.00
1.960,2025/09/19 17:23:23.297,250.19,94.00,15395.00,24564.00
2.061,2025/09/19 17:23:23.398,250.66,82.00,15395.00,24564.00
2.162,2025/09/19 17:23:23.499,253.84,82.00,15395.00,24564.00
2.263,2025/09/19 17:23:23.600,253.98,94.00,15395.00,24564.00
2.364,2025/09/19 17:23:23.701,253.74,94.00,15395.00,24564.00
2.464,2025/09/19 17:23:23.802,253.38,94.00,15395.00,24564.00
2.565,2025/09/19 17:23:23.902,253.10,94.00,15395.00,24564.00
2.666,2025/09/19 17:23:24.003,253.04,94.00,15395.00,24564.00
2.766,2025/09/19 17:23:24.104,253.00,94.00,15395.00,24564.00
2.867,2025/09/19 17:23:24.204,250.28,81.00,15395.00,24564.00
2.967,2025/09/19 17:23:24.305,250.63,81.00,15395.00,24564.00
3.067,2025/09/19 17:23:24.405,254.39,93.00,15395.00,24564.00
3.168,2025/09/19 17:23:24.506,254.32,93.00,15395.00,24564.00
3.269,2025/09/19 17:23:24.606,254.23,93.00,15395.00,24564.00
3.369,2025/09/19 17:23:24.707,253.78,93.00,15395.00,24564.00
3.470,2025/09/19 17:23:24.807,253.60,94.00,15395.00,24564.00
3.571,2025/09/19 17:23:24.908,253.58,94.00,15395.00,24564.00
