t_local_s,timestamp,power_W,util_pct,mem_used_MiB,mem_total_MiB
0.431,2025/09/19 17:21:19.494,122.02,94.00,15359.00,24564.00
0.532,2025/09/19 17:21:19.595,133.65,94.00,15359.00,24564.00
0.633,2025/09/19 17:21:19.696,143.37,94.00,15359.00,24564.00
0.740,2025/09/19 17:21:19.797,151.48,94.00,15359.00,24564.00
0.835,2025/09/19 17:21:19.898,158.51,94.00,15359.00,24564.00
0.935,2025/09/19 17:21:19.999,164.61,94.00,15359.00,24564.00
1.036,2025/09/19 17:21:20.100,167.93,94.00,15359.00,24564.00
1.136,2025/09/19 17:21:20.200,250.44,83.00,15359.00,24564.00
1.237,2025/09/19 17:21:20.301,252.09,83.00,15359.00,24564.00
1.337,2025/09/19 17:21:20.401,253.85,94.00,15359.00,24564.00
1.438,2025/09/19 17:21:20.502,255.69,94.00,15359.00,24564.00
1.538,2025/09/19 17:21:20.602,255.79,94.00,15359.00,24564.00
1.638,2025/09/19 17:21:20.703,255.45,94.00,15359.00,24564.00
1.739,2025/09/19 17:21:20.803,255.13,94.00,15359.00,24564.00
1.841,2025/09/19 17:21:20.904,253.47,94.00,15359.00,24564.00
1.941,2025/09/19 17:21:21.004,250.46,79.00,15359.00,24564.00
2.041,2025/09/19 17:21:21.105,250.82,79.00,15359.00,24564.00
2.141,2025/09/19 17:21:21.205,254.37,94.00,15359.00,24564.00
2.243,2025/09/19 17:21:21.306,254.37,94.00,15359.00,24564.00
2.342,2025/09/19 17:21:21.406,254.14,94.00,15359.00,24564.00
2.443,2025/09/19 17:21:21.507,253.80,94.00,15359.00,24564.00
2.548,2025/09/19 17:21:21.607,253.55,94.00,15359.00,24564.00
2.644,2025/09/19 17:21:21.707,253.42,94.00,15359.00,24564.00
2.744,2025/09/19 17:21:21.808,251.68,88.00,15359.00,24564.00
2.845,2025/09/19 17:21:21.908,248.86,88.00,15359.00,24564.00
2.945,2025/09/19 17:21:22.009,251.08,86.00,15359.00,24564.00
3.046,2025/09/19 17:21:22.110,254.51,86.00,15359.00,24564.00
3.146,2025/09/19 17:21:22.210,254.63,94.00,15359.00,24564.00
3.247,2025/09/19 17:21:22.311,254.77,94.00,15359.00,24564.00
3.347,2025/09/19 17:21:22.411,254.65,94.00,15359.00,24564.00
3.448,2025/09/19 17:21:22.512,254.60,94.00,15359.00,24564.00
3.548,2025/09/19 17:21:22.612,254.71,94.00,15359.00,24564.00
3.648,2025/09/19 17:21:22.713,251.34,94.00,15361.00,24564.00
3.753,2025/09/19 17:21:22.813,251.21,81.00,15361.00,24564.00
3.851,2025/09/19 17:21:22.914,253.39,81.00,15361.00,24564.00
3.952,2025/09/19 17:21:23.015,256.58,94.00,15361.00,24564.00
4.053,2025/09/19 17:21:23.116,256.63,94.00,15361.00,24564.00
4.154,2025/09/19 17:21:23.217,256.29,94.00,15361.00,24564.00
4.255,2025/09/19 17:21:23.318,255.72,94.00,15361.00,24564.00
4.356,2025/09/19 17:21:23.419,255.49,94.00,15361.00,24564.00
4.456,2025/09/19 17:21:23.520,255.41,94.00,15361.00,24564.00
4.556,2025/09/19 17:21:23.620,251.52,82.00,15361.00,24564.00
4.657,2025/09/19 17:21:23.721,251.23,82.00,15361.00,24564.00
4.758,2025/09/19 17:21:23.821,255.00,93.00,15361.00,24564.00
4.858,2025/09/19 17:21:23.922,255.62,93.00,15361.00,24564.00
4.959,2025/09/19 17:21:24.022,255.57,94.00,15361.00,24564.00
5.060,2025/09/19 17:21:24.123,255.57,94.00,15361.00,24564.00
5.160,2025/09/19 17:21:24.224,255.34,94.00,15361.00,24564.00
5.261,2025/09/19 17:21:24.324,255.43,94.00,15361.00,24564.00
5.362,2025/09/19 17:21:24.425,255.73,94.00,15361.00,24564.00
5.462,2025/09/19 17:21:24.526,250.22,94.00,15361.00,24564.00
5.564,2025/09/19 17:21:24.626,250.57,78.00,15361.00,24564.00
5.676,2025/09/19 17:21:24.727,254.79,78.00,15361.00,24564.00
5.763,2025/09/19 17:21:24.827,255.46,94.00,15361.00,24564.00
5.864,2025/09/19 17:21:24.928,255.46,94.00,15361.00,24564.00
5.965,2025/09/19 17:21:25.028,255.09,94.00,15361.00,24564.00
6.065,2025/09/19 17:21:25.129,254.82,94.00,15361.00,24564.00
6.165,2025/09/19 17:21:25.229,254.43,94.00,15361.00,24564.00
6.267,2025/09/19 17:21:25.330,254.15,94.00,15361.00,24564.00
6.366,2025/09/19 17:21:25.430,249.49,80.00,15361.00,24564.00
6.467,2025/09/19 17:21:25.531,245.48,80.00,15361.00,24564.00
6.567,2025/09/19 17:21:25.632,251.28,83.00,15361.00,24564.00
6.668,2025/09/19 17:21:25.732,251.15,83.00,15361.00,24564.00
6.774,2025/09/19 17:21:25.833,251.22,94.00,15361.00,24564.00
6.871,2025/09/19 17:21:25.934,251.39,94.00,15361.00,24564.00
6.973,2025/09/19 17:21:26.035,251.26,95.00,15361.00,24564.00
7.073,2025/09/19 17:21:26.136,251.42,95.00,15361.00,24564.00
7.174,2025/09/19 17:21:26.237,251.52,95.00,15361.00,24564.00
7.274,2025/09/19 17:21:26.338,249.55,95.00,15361.00,24564.00
7.375,2025/09/19 17:21:26.439,247.17,79.00,15361.00,24564.00
7.475,2025/09/19 17:21:26.539,252.07,79.00,15361.00,24564.00
7.577,2025/09/19 17:21:26.640,256.38,94.00,15361.00,24564.00
7.677,2025/09/19 17:21:26.740,256.44,94.00,15361.00,24564.00
7.787,2025/09/19 17:21:26.841,256.43,95.00,15361.00,24564.00
7.878,2025/09/19 17:21:26.941,256.11,95.00,15361.00,24564.00
7.978,2025/09/19 17:21:27.042,255.73,95.00,15361.00,24564.00
8.078,2025/09/19 17:21:27.142,255.69,95.00,15361.00,24564.00
8.179,2025/09/19 17:21:27.243,253.24,86.00,15361.00,24564.00
8.279,2025/09/19 17:21:27.343,251.35,86.00,15361.00,24564.00
8.380,2025/09/19 17:21:27.444,253.84,89.00,15361.00,24564.00
8.480,2025/09/19 17:21:27.544,256.96,89.00,15361.00,24564.00
8.602,2025/09/19 17:21:27.645,257.22,95.00,15361.00,24564.00
8.683,2025/09/19 17:21:27.745,257.32,95.00,15361.00,24564.00
8.782,2025/09/19 17:21:27.846,257.21,95.00,15361.00,24564.00
8.882,2025/09/19 17:21:27.946,257.17,95.00,15361.00,24564.00
8.983,2025/09/19 17:21:28.047,257.20,95.00,15361.00,24564.00
9.083,2025/09/19 17:21:28.147,252.34,95.00,15361.00,24564.00
9.184,2025/09/19 17:21:28.248,253.05,81.00,15361.00,24564.00
9.285,2025/09/19 17:21:28.348,255.81,81.00,15361.00,24564.00
9.386,2025/09/19 17:21:28.449,257.78,95.00,15361.00,24564.00
9.486,2025/09/19 17:21:28.549,257.52,95.00,15361.00,24564.00
9.587,2025/09/19 17:21:28.650,257.13,95.00,15361.00,24564.00
9.687,2025/09/19 17:21:28.750,256.74,95.00,15361.00,24564.00
9.787,2025/09/19 17:21:28.851,256.50,95.00,15361.00,24564.00
9.888,2025/09/19 17:21:28.951,250.32,95.00,15361.00,24564.00
9.989,2025/09/19 17:21:29.052,250.80,78.00,15361.00,24564.00
10.094,2025/09/19 17:21:29.153,256.01,95.00,15361.00,24564.00
10.194,2025/09/19 17:21:29.258,255.55,95.00,15361.00,24564.00
10.295,2025/09/19 17:21:29.358,255.55,95.00,15361.00,24564.00
10.398,2025/09/19 17:21:29.459,255.58,95.00,15361.00,24564.00
10.496,2025/09/19 17:21:29.559,255.33,95.00,15361.00,24564.00
10.596,2025/09/19 17:21:29.660,255.08,95.00,15361.00,24564.00
10.697,2025/09/19 17:21:29.760,255.02,95.00,15361.00,24564.00
10.797,2025/09/19 17:21:29.861,248.78,95.00,15361.00,24564.00
10.897,2025/09/19 17:21:29.961,249.08,76.00,15361.00,24564.00
10.998,2025/09/19 17:21:30.061,255.40,76.00,15361.00,24564.00
11.098,2025/09/19 17:21:30.162,255.19,94.00,15361.00,24564.00
11.199,2025/09/19 17:21:30.262,255.14,94.00,15361.00,24564.00
11.299,2025/09/19 17:21:30.363,255.15,95.00,15361.00,24564.00
11.399,2025/09/19 17:21:30.463,254.91,95.00,15361.00,24564.00
11.500,2025/09/19 17:21:30.564,254.61,95.00,15361.00,24564.00
11.600,2025/09/19 17:21:30.664,254.47,95.00,15361.00,24564.00
11.700,2025/09/19 17:21:30.765,250.10,82.00,15361.00,24564.00
11.801,2025/09/19 17:21:30.865,250.42,82.00,15361.00,24564.00
11.902,2025/09/19 17:21:30.966,256.99,95.00,15361.00,24564.00
12.002,2025/09/19 17:21:31.066,257.04,95.00,15361.00,24564.00
12.103,2025/09/19 17:21:31.166,257.14,95.00,15361.00,24564.00
12.204,2025/09/19 17:21:31.267,257.22,95.00,15361.00,24564.00
12.303,2025/09/19 17:21:31.367,256.93,95.00,15361.00,24564.00
12.404,2025/09/19 17:21:31.468,256.55,95.00,15361.00,24564.00
12.504,2025/09/19 17:21:31.568,256.55,95.00,15361.00,24564.00
12.605,2025/09/19 17:21:31.669,251.63,95.00,15361.00,24564.00
12.705,2025/09/19 17:21:31.769,251.87,79.00,15361.00,24564.00
12.806,2025/09/19 17:21:31.869,256.42,79.00,15361.00,24564.00
