t_local_s,timestamp,power_W,util_pct,mem_used_MiB,mem_total_MiB
0.396,2025/09/19 17:12:57.684,103.25,88.00,15391.00,24564.00
0.498,2025/09/19 17:12:57.785,114.73,93.00,15391.00,24564.00
0.599,2025/09/19 17:12:57.886,124.75,93.00,15391.00,24564.00
0.700,2025/09/19 17:12:57.986,133.54,93.00,15391.00,24564.00
0.800,2025/09/19 17:12:58.087,141.11,93.00,15391.00,24564.00
0.902,2025/09/19 17:12:58.188,147.85,94.00,15391.00,24564.00
1.002,2025/09/19 17:12:58.288,153.90,94.00,15391.00,24564.00
1.102,2025/09/19 17:12:58.390,252.87,73.00,15393.00,24564.00
1.204,2025/09/19 17:12:58.491,254.18,73.00,15393.00,24564.00
1.304,2025/09/19 17:12:58.591,258.58,93.00,15393.00,24564.00
1.405,2025/09/19 17:12:58.692,260.58,93.00,15393.00,24564.00
1.506,2025/09/19 17:12:58.793,261.26,94.00,15393.00,24564.00
1.607,2025/09/19 17:12:58.894,261.36,94.00,15393.00,24564.00
1.708,2025/09/19 17:12:58.995,261.23,94.00,15393.00,24564.00
1.808,2025/09/19 17:12:59.096,261.10,94.00,15393.00,24564.00
1.909,2025/09/19 17:12:59.196,261.21,95.00,15393.00,24564.00
2.009,2025/09/19 17:12:59.297,261.35,95.00,15393.00,24564.00
2.110,2025/09/19 17:12:59.397,260.01,84.00,15393.00,24564.00
2.210,2025/09/19 17:12:59.498,264.29,84.00,15393.00,24564.00
2.311,2025/09/19 17:12:59.598,264.39,94.00,15393.00,24564.00
2.411,2025/09/19 17:12:59.699,264.62,94.00,15393.00,24564.00
2.516,2025/09/19 17:12:59.799,264.76,94.00,15393.00,24564.00
2.612,2025/09/19 17:12:59.900,264.71,94.00,15393.00,24564.00
2.712,2025/09/19 17:13:00.000,264.60,94.00,15393.00,24564.00
2.813,2025/09/19 17:13:00.101,264.63,94.00,15393.00,24564.00
2.914,2025/09/19 17:13:00.201,264.67,94.00,15395.00,24564.00
3.014,2025/09/19 17:13:00.302,263.98,94.00,15395.00,24564.00
3.116,2025/09/19 17:13:00.402,264.44,85.00,15395.00,24564.00
3.215,2025/09/19 17:13:00.503,266.26,85.00,15395.00,24564.00
3.316,2025/09/19 17:13:00.603,266.04,94.00,15395.00,24564.00
3.417,2025/09/19 17:13:00.704,265.73,94.00,15395.00,24564.00
3.518,2025/09/19 17:13:00.804,265.15,94.00,15395.00,24564.00
3.617,2025/09/19 17:13:00.905,264.73,94.00,15395.00,24564.00
3.718,2025/09/19 17:13:01.005,264.35,94.00,15395.00,24564.00
3.818,2025/09/19 17:13:01.106,264.31,94.00,15395.00,24564.00
3.919,2025/09/19 17:13:01.206,260.31,87.00,15395.00,24564.00
4.020,2025/09/19 17:13:01.307,261.32,87.00,15395.00,24564.00
4.120,2025/09/19 17:13:01.407,261.29,90.00,15395.00,24564.00
4.220,2025/09/19 17:13:01.508,261.30,90.00,15395.00,24564.00
4.321,2025/09/19 17:13:01.608,261.47,94.00,15395.00,24564.00
4.423,2025/09/19 17:13:01.709,261.48,94.00,15395.00,24564.00
4.523,2025/09/19 17:13:01.810,261.56,94.00,15395.00,24564.00
4.628,2025/09/19 17:13:01.911,261.49,94.00,15395.00,24564.00
4.728,2025/09/19 17:13:02.016,261.33,94.00,15395.00,24564.00
4.829,2025/09/19 17:13:02.116,254.09,72.00,15395.00,24564.00
4.929,2025/09/19 17:13:02.217,256.70,72.00,15395.00,24564.00
5.029,2025/09/19 17:13:02.317,258.66,94.00,15395.00,24564.00
5.130,2025/09/19 17:13:02.417,258.70,94.00,15395.00,24564.00
5.230,2025/09/19 17:13:02.518,258.56,94.00,15395.00,24564.00
5.330,2025/09/19 17:13:02.618,258.51,94.00,15395.00,24564.00
5.431,2025/09/19 17:13:02.719,258.06,94.00,15395.00,24564.00
5.533,2025/09/19 17:13:02.819,257.92,94.00,15395.00,24564.00
5.632,2025/09/19 17:13:02.920,257.88,94.00,15395.00,24564.00
5.732,2025/09/19 17:13:03.020,257.32,94.00,15395.00,24564.00
5.833,2025/09/19 17:13:03.121,251.48,74.00,15395.00,24564.00
5.934,2025/09/19 17:13:03.221,259.04,74.00,15395.00,24564.00
6.034,2025/09/19 17:13:03.322,259.10,94.00,15395.00,24564.00
6.135,2025/09/19 17:13:03.422,259.00,94.00,15395.00,24564.00
6.235,2025/09/19 17:13:03.523,258.86,94.00,15395.00,24564.00
6.335,2025/09/19 17:13:03.623,258.91,94.00,15395.00,24564.00
6.436,2025/09/19 17:13:03.723,258.62,94.00,15395.00,24564.00
6.536,2025/09/19 17:13:03.824,258.53,94.00,15395.00,24564.00
6.637,2025/09/19 17:13:03.924,258.46,94.00,15395.00,24564.00
6.737,2025/09/19 17:13:04.025,254.56,94.00,15395.00,24564.00
6.838,2025/09/19 17:13:04.125,252.11,74.00,15395.00,24564.00
6.938,2025/09/19 17:13:04.226,258.33,74.00,15395.00,24564.00
7.039,2025/09/19 17:13:04.326,258.36,95.00,15395.00,24564.00
7.139,2025/09/19 17:13:04.427,258.39,95.00,15395.00,24564.00
7.241,2025/09/19 17:13:04.527,258.46,94.00,15395.00,24564.00
7.340,2025/09/19 17:13:04.627,258.40,94.00,15395.00,24564.00
7.441,2025/09/19 17:13:04.728,258.00,95.00,15395.00,24564.00
7.542,2025/09/19 17:13:04.829,257.86,95.00,15395.00,24564.00
7.643,2025/09/19 17:13:04.930,257.95,94.00,15395.00,24564.00
7.743,2025/09/19 17:13:05.031,257.10,94.00,15395.00,24564.00
7.844,2025/09/19 17:13:05.131,261.46,85.00,15395.00,24564.00
7.945,2025/09/19 17:13:05.232,264.84,85.00,15395.00,24564.00
8.046,2025/09/19 17:13:05.333,264.99,94.00,15395.00,24564.00
8.146,2025/09/19 17:13:05.434,265.05,94.00,15395.00,24564.00
8.247,2025/09/19 17:13:05.534,265.10,94.00,15395.00,24564.00
8.349,2025/09/19 17:13:05.635,264.85,94.00,15395.00,24564.00
8.447,2025/09/19 17:13:05.735,264.71,94.00,15395.00,24564.00
8.548,2025/09/19 17:13:05.836,264.76,94.00,15395.00,24564.00
8.654,2025/09/19 17:13:05.936,261.80,85.00,15395.00,24564.00
8.750,2025/09/19 17:13:06.037,262.11,85.00,15395.00,24564.00
8.852,2025/09/19 17:13:06.137,263.38,94.00,15395.00,24564.00
8.950,2025/09/19 17:13:06.238,263.31,94.00,15395.00,24564.00
9.050,2025/09/19 17:13:06.338,263.37,95.00,15395.00,24564.00
9.151,2025/09/19 17:13:06.439,263.37,95.00,15395.00,24564.00
9.251,2025/09/19 17:13:06.539,263.11,94.00,15395.00,24564.00
9.352,2025/09/19 17:13:06.640,262.75,94.00,15395.00,24564.00
9.453,2025/09/19 17:13:06.740,262.67,95.00,15395.00,24564.00
9.553,2025/09/19 17:13:06.841,261.06,95.00,15395.00,24564.00
9.654,2025/09/19 17:13:06.941,260.01,85.00,15395.00,24564.00
9.759,2025/09/19 17:13:07.042,263.44,85.00,15395.00,24564.00
9.855,2025/09/19 17:13:07.142,263.37,94.00,15395.00,24564.00
9.955,2025/09/19 17:13:07.243,263.38,94.00,15395.00,24564.00
10.056,2025/09/19 17:13:07.343,263.14,94.00,15395.00,24564.00
10.156,2025/09/19 17:13:07.444,262.72,94.00,15395.00,24564.00
10.257,2025/09/19 17:13:07.544,262.30,95.00,15395.00,24564.00
10.357,2025/09/19 17:13:07.645,262.19,95.00,15395.00,24564.00
10.457,2025/09/19 17:13:07.745,262.21,95.00,15395.00,24564.00
10.558,2025/09/19 17:13:07.846,259.30,95.00,15395.00,24564.00
10.659,2025/09/19 17:13:07.946,261.26,85.00,15395.00,24564.00
10.760,2025/09/19 17:13:08.047,262.63,85.00,15395.00,24564.00
10.861,2025/09/19 17:13:08.148,262.56,95.00,15395.00,24564.00
10.963,2025/09/19 17:13:08.249,262.47,95.00,15395.00,24564.00
11.062,2025/09/19 17:13:08.349,262.05,94.00,15395.00,24564.00
11.163,2025/09/19 17:13:08.450,261.95,94.00,15395.00,24564.00
11.264,2025/09/19 17:13:08.551,261.87,94.00,15395.00,24564.00
11.365,2025/09/19 17:13:08.652,261.88,94.00,15395.00,24564.00
11.465,2025/09/19 17:13:08.753,258.59,85.00,15395.00,24564.00
11.566,2025/09/19 17:13:08.853,258.80,85.00,15395.00,24564.00
11.667,2025/09/19 17:13:08.954,261.98,94.00,15395.00,24564.00
11.767,2025/09/19 17:13:09.054,261.99,94.00,15395.00,24564.00
11.867,2025/09/19 17:13:09.155,261.93,95.00,15395.00,24564.00
11.968,2025/09/19 17:13:09.255,261.71,95.00,15395.00,24564.00
12.068,2025/09/19 17:13:09.356,261.54,94.00,15395.00,24564.00
12.169,2025/09/19 17:13:09.456,261.57,94.00,15395.00,24564.00
12.273,2025/09/19 17:13:09.557,261.50,94.00,15395.00,24564.00
12.369,2025/09/19 17:13:09.657,261.69,94.00,15395.00,24564.00
12.470,2025/09/19 17:13:09.758,258.43,84.00,15395.00,24564.00
12.571,2025/09/19 17:13:09.858,262.04,84.00,15395.00,24564.00
12.671,2025/09/19 17:13:09.959,262.27,94.00,15395.00,24564.00
12.772,2025/09/19 17:13:10.059,258.30,94.00,15395.00,24564.00
12.872,2025/09/19 17:13:10.160,258.78,84.00,15395.00,24564.00
12.973,2025/09/19 17:13:10.260,258.94,84.00,15395.00,24564.00
13.073,2025/09/19 17:13:10.361,259.05,94.00,15395.00,24564.00
13.174,2025/09/19 17:13:10.461,259.37,94.00,15395.00,24564.00
13.274,2025/09/19 17:13:10.562,259.57,94.00,15395.00,24564.00
13.376,2025/09/19 17:13:10.662,259.64,94.00,15395.00,24564.00
13.475,2025/09/19 17:13:10.763,259.53,94.00,15395.00,24564.00
13.576,2025/09/19 17:13:10.863,262.86,94.00,15395.00,24564.00
13.675,2025/09/19 17:13:10.964,262.51,94.00,15395.00,24564.00
13.776,2025/09/19 17:13:11.064,254.51,94.00,15395.00,24564.00
13.878,2025/09/19 17:13:11.165,258.61,72.00,15395.00,24564.00
13.977,2025/09/19 17:13:11.265,258.10,72.00,15395.00,24564.00
14.078,2025/09/19 17:13:11.366,258.08,95.00,15395.00,24564.00
14.179,2025/09/19 17:13:11.466,258.22,95.00,15395.00,24564.00
14.280,2025/09/19 17:13:11.567,258.30,94.00,15395.00,24564.00
14.381,2025/09/19 17:13:11.668,258.42,94.00,15395.00,24564.00
14.483,2025/09/19 17:13:11.769,258.37,95.00,15395.00,24564.00
14.583,2025/09/19 17:13:11.870,258.28,95.00,15395.00,24564.00
14.684,2025/09/19 17:13:11.971,254.40,83.00,15395.00,24564.00
14.792,2025/09/19 17:13:12.072,254.29,83.00,15395.00,24564.00
14.885,2025/09/19 17:13:12.172,258.11,83.00,15395.00,24564.00
14.987,2025/09/19 17:13:12.273,257.46,83.00,15395.00,24564.00
15.086,2025/09/19 17:13:12.373,257.42,84.00,15395.00,24564.00
15.185,2025/09/19 17:13:12.474,257.18,84.00,15395.00,24564.00
15.287,2025/09/19 17:13:12.574,254.39,86.00,15395.00,24564.00
15.387,2025/09/19 17:13:12.675,254.23,86.00,15395.00,24564.00
15.488,2025/09/19 17:13:12.775,254.23,94.00,15395.00,24564.00
15.589,2025/09/19 17:13:12.876,254.59,94.00,15395.00,24564.00
15.689,2025/09/19 17:13:12.976,255.01,95.00,15395.00,24564.00
15.796,2025/09/19 17:13:13.077,259.03,95.00,15395.00,24564.00
15.890,2025/09/19 17:13:13.177,259.13,94.00,15395.00,24564.00
15.990,2025/09/19 17:13:13.278,262.80,94.00,15395.00,24564.00
16.090,2025/09/19 17:13:13.378,263.07,94.00,15395.00,24564.00
16.191,2025/09/19 17:13:13.479,259.97,94.00,15395.00,24564.00
16.293,2025/09/19 17:13:13.579,260.09,86.00,15395.00,24564.00
16.392,2025/09/19 17:13:13.679,258.34,86.00,15395.00,24564.00
16.493,2025/09/19 17:13:13.780,256.41,74.00,15395.00,24564.00
16.593,2025/09/19 17:13:13.880,256.47,74.00,15395.00,24564.00
16.694,2025/09/19 17:13:13.981,256.45,95.00,15395.00,24564.00
