t_local_s,timestamp,power_W,util_pct,mem_used_MiB,mem_total_MiB
0.473,2025/09/19 20:11:19.524,115.07,93.00,15393.00,24564.00
0.574,2025/09/19 20:11:19.625,124.61,94.00,15393.00,24564.00
0.675,2025/09/19 20:11:19.726,132.82,94.00,15393.00,24564.00
0.775,2025/09/19 20:11:19.826,140.02,94.00,15393.00,24564.00
0.876,2025/09/19 20:11:19.927,146.40,94.00,15393.00,24564.00
0.976,2025/09/19 20:11:20.027,150.50,82.00,15393.00,24564.00
1.077,2025/09/19 20:11:20.128,155.60,82.00,15393.00,24564.00
1.177,2025/09/19 20:11:20.228,250.11,93.00,15393.00,24564.00
1.278,2025/09/19 20:11:20.329,253.29,93.00,15393.00,24564.00
1.378,2025/09/19 20:11:20.429,253.88,93.00,15393.00,24564.00
1.479,2025/09/19 20:11:20.530,253.69,93.00,15393.00,24564.00
1.580,2025/09/19 20:11:20.630,253.37,93.00,15393.00,24564.00
1.680,2025/09/19 20:11:20.731,252.97,93.00,15393.00,24564.00
1.780,2025/09/19 20:11:20.831,252.77,94.00,15393.00,24564.00
1.881,2025/09/19 20:11:20.932,248.35,94.00,15395.00,24564.00
1.981,2025/09/19 20:11:21.032,247.50,77.00,15395.00,24564.00
2.082,2025/09/19 20:11:21.133,250.55,77.00,15395.00,24564.00
2.183,2025/09/19 20:11:21.233,250.46,93.00,15395.00,24564.00
2.282,2025/09/19 20:11:21.334,251.01,93.00,15395.00,24564.00
2.383,2025/09/19 20:11:21.434,250.57,93.00,15395.00,24564.00
2.484,2025/09/19 20:11:21.535,250.15,93.00,15395.00,24564.00
2.584,2025/09/19 20:11:21.635,250.04,93.00,15395.00,24564.00
2.685,2025/09/19 20:11:21.736,249.84,93.00,15395.00,24564.00
2.785,2025/09/19 20:11:21.836,248.25,86.00,15395.00,24564.00
2.887,2025/09/19 20:11:21.937,245.31,86.00,15395.00,24564.00
2.988,2025/09/19 20:11:22.038,250.12,85.00,15395.00,24564.00
3.089,2025/09/19 20:11:22.139,251.37,85.00,15395.00,24564.00
3.190,2025/09/19 20:11:22.240,251.43,94.00,15395.00,24564.00
3.290,2025/09/19 20:11:22.341,251.32,94.00,15395.00,24564.00
3.390,2025/09/19 20:11:22.442,251.14,94.00,15395.00,24564.00
3.491,2025/09/19 20:11:22.542,251.19,94.00,15395.00,24564.00
3.592,2025/09/19 20:11:22.643,251.33,94.00,15395.00,24564.00
3.693,2025/09/19 20:11:22.743,251.38,94.00,15395.00,24564.00
3.793,2025/09/19 20:11:22.844,248.04,76.00,15395.00,24564.00
3.893,2025/09/19 20:11:22.944,250.45,76.00,15395.00,24564.00
3.993,2025/09/19 20:11:23.045,253.78,94.00,15395.00,24564.00
4.095,2025/09/19 20:11:23.145,253.37,94.00,15395.00,24564.00
4.195,2025/09/19 20:11:23.246,252.95,94.00,15395.00,24564.00
4.295,2025/09/19 20:11:23.346,252.58,94.00,15395.00,24564.00
4.395,2025/09/19 20:11:23.447,252.31,94.00,15395.00,24564.00
4.496,2025/09/19 20:11:23.547,252.25,94.00,15395.00,24564.00
4.597,2025/09/19 20:11:23.648,252.24,94.00,15395.00,24564.00
4.697,2025/09/19 20:11:23.748,246.30,94.00,15395.00,24564.00
4.798,2025/09/19 20:11:23.849,246.55,76.00,15395.00,24564.00
4.898,2025/09/19 20:11:23.949,250.09,76.00,15395.00,24564.00
5.003,2025/09/19 20:11:24.050,250.16,94.00,15395.00,24564.00
5.099,2025/09/19 20:11:24.150,250.22,94.00,15395.00,24564.00
5.200,2025/09/19 20:11:24.251,250.29,94.00,15395.00,24564.00
5.300,2025/09/19 20:11:24.351,250.27,94.00,15395.00,24564.00
