t_local_s,timestamp,power_W,util_pct,mem_used_MiB,mem_total_MiB
0.517,2025/09/20 07:05:29.519,113.65,94.00,15359.00,24564.00
0.618,2025/09/20 07:05:29.620,122.02,94.00,15359.00,24564.00
0.718,2025/09/20 07:05:29.720,129.29,94.00,15359.00,24564.00
0.819,2025/09/20 07:05:29.821,135.83,94.00,15359.00,24564.00
0.919,2025/09/20 07:05:29.921,214.40,94.00,15359.00,24564.00
1.019,2025/09/20 07:05:30.022,214.95,83.00,15359.00,24564.00
1.120,2025/09/20 07:05:30.122,255.44,83.00,15359.00,24564.00
1.221,2025/09/20 07:05:30.223,257.21,94.00,15359.00,24564.00
1.321,2025/09/20 07:05:30.323,258.84,94.00,15359.00,24564.00
1.423,2025/09/20 07:05:30.424,259.23,94.00,15359.00,24564.00
1.522,2025/09/20 07:05:30.524,259.11,94.00,15359.00,24564.00
1.624,2025/09/20 07:05:30.625,258.88,95.00,15359.00,24564.00
1.724,2025/09/20 07:05:30.725,258.64,95.00,15359.00,24564.00
1.824,2025/09/20 07:05:30.826,258.72,93.00,15359.00,24564.00
1.924,2025/09/20 07:05:30.926,255.23,93.00,15359.00,24564.00
2.025,2025/09/20 07:05:31.027,255.61,84.00,15359.00,24564.00
2.126,2025/09/20 07:05:31.127,259.62,84.00,15359.00,24564.00
2.227,2025/09/20 07:05:31.228,259.67,94.00,15359.00,24564.00
2.327,2025/09/20 07:05:31.328,259.51,94.00,15359.00,24564.00
2.428,2025/09/20 07:05:31.429,259.26,95.00,15359.00,24564.00
2.528,2025/09/20 07:05:31.530,259.06,95.00,15359.00,24564.00
2.630,2025/09/20 07:05:31.631,259.00,95.00,15359.00,24564.00
2.730,2025/09/20 07:05:31.732,257.24,95.00,15359.00,24564.00
2.831,2025/09/20 07:05:31.833,255.43,83.00,15359.00,24564.00
2.932,2025/09/20 07:05:31.934,255.84,83.00,15359.00,24564.00
3.032,2025/09/20 07:05:32.034,259.86,95.00,15359.00,24564.00
3.133,2025/09/20 07:05:32.135,259.94,95.00,15359.00,24564.00
3.233,2025/09/20 07:05:32.235,260.03,95.00,15359.00,24564.00
3.334,2025/09/20 07:05:32.336,259.86,95.00,15359.00,24564.00
3.435,2025/09/20 07:05:32.436,259.75,95.00,15359.00,24564.00
3.534,2025/09/20 07:05:32.537,259.77,95.00,15359.00,24564.00
3.635,2025/09/20 07:05:32.637,255.90,84.00,15361.00,24564.00
3.736,2025/09/20 07:05:32.738,256.69,84.00,15361.00,24564.00
3.837,2025/09/20 07:05:32.838,258.79,94.00,15361.00,24564.00
3.937,2025/09/20 07:05:32.939,260.96,94.00,15361.00,24564.00
4.037,2025/09/20 07:05:33.039,260.84,95.00,15361.00,24564.00
4.138,2025/09/20 07:05:33.140,260.40,95.00,15361.00,24564.00
4.238,2025/09/20 07:05:33.240,260.02,95.00,15361.00,24564.00
4.339,2025/09/20 07:05:33.341,259.64,95.00,15361.00,24564.00
4.439,2025/09/20 07:05:33.441,259.56,95.00,15361.00,24564.00
4.540,2025/09/20 07:05:33.542,255.55,95.00,15361.00,24564.00
4.640,2025/09/20 07:05:33.642,255.87,82.00,15361.00,24564.00
4.741,2025/09/20 07:05:33.743,260.03,82.00,15361.00,24564.00
4.841,2025/09/20 07:05:33.843,259.62,95.00,15361.00,24564.00
4.942,2025/09/20 07:05:33.944,259.68,95.00,15361.00,24564.00
5.042,2025/09/20 07:05:34.044,259.56,95.00,15361.00,24564.00
5.143,2025/09/20 07:05:34.145,259.36,95.00,15361.00,24564.00
5.243,2025/09/20 07:05:34.245,259.43,94.00,15361.00,24564.00
5.343,2025/09/20 07:05:34.346,259.25,94.00,15361.00,24564.00
5.444,2025/09/20 07:05:34.446,255.69,83.00,15361.00,24564.00
5.545,2025/09/20 07:05:34.547,255.93,83.00,15361.00,24564.00
5.646,2025/09/20 07:05:34.648,260.34,94.00,15361.00,24564.00
5.747,2025/09/20 07:05:34.749,260.45,94.00,15361.00,24564.00
