t_local_s,timestamp,power_W,util_pct,mem_used_MiB,mem_total_MiB
1.187,2025/09/20 02:52:57.338,14.02,0.00,3.00,24564.00
1.278,2025/09/20 02:52:57.439,14.02,0.00,3.00,24564.00
1.379,2025/09/20 02:52:57.540,14.02,0.00,3.00,24564.00
1.479,2025/09/20 02:52:57.640,14.02,0.00,3.00,24564.00
1.580,2025/09/20 02:52:57.741,14.02,0.00,3.00,24564.00
1.681,2025/09/20 02:52:57.842,14.02,0.00,3.00,24564.00
1.781,2025/09/20 02:52:57.942,14.02,0.00,3.00,24564.00
1.882,2025/09/20 02:52:58.043,14.02,0.00,3.00,24564.00
1.982,2025/09/20 02:52:58.144,14.02,0.00,3.00,24564.00
2.083,2025/09/20 02:52:58.244,14.02,0.00,3.00,24564.00
2.185,2025/09/20 02:52:58.345,14.00,0.00,3.00,24564.00
2.284,2025/09/20 02:52:58.445,14.00,0.00,3.00,24564.00
2.384,2025/09/20 02:52:58.546,14.00,0.00,3.00,24564.00
2.485,2025/09/20 02:52:58.646,14.00,0.00,3.00,24564.00
2.587,2025/09/20 02:52:58.747,14.00,0.00,3.00,24564.00
2.686,2025/09/20 02:52:58.847,14.00,0.00,3.00,24564.00
2.787,2025/09/20 02:52:58.948,14.00,0.00,3.00,24564.00
2.888,2025/09/20 02:52:59.049,14.00,0.00,3.00,24564.00
2.988,2025/09/20 02:52:59.149,14.00,0.00,3.00,24564.00
3.088,2025/09/20 02:52:59.250,14.00,0.00,3.00,24564.00
3.189,2025/09/20 02:52:59.350,14.24,0.00,3.00,24564.00
3.290,2025/09/20 02:52:59.451,14.24,0.00,3.00,24564.00
3.390,2025/09/20 02:52:59.551,14.24,0.00,3.00,24564.00
3.491,2025/09/20 02:52:59.652,14.24,0.00,3.00,24564.00
3.591,2025/09/20 02:52:59.752,14.24,0.00,3.00,24564.00
3.691,2025/09/20 02:52:59.853,14.24,0.00,3.00,24564.00
3.792,2025/09/20 02:52:59.954,14.24,0.00,3.00,24564.00
3.893,2025/09/20 02:53:00.054,14.24,0.00,3.00,24564.00
3.994,2025/09/20 02:53:00.155,14.24,0.00,3.00,24564.00
4.094,2025/09/20 02:53:00.255,14.24,0.00,3.00,24564.00
4.194,2025/09/20 02:53:00.356,14.34,0.00,3.00,24564.00
4.295,2025/09/20 02:53:00.456,14.34,0.00,3.00,24564.00
4.395,2025/09/20 02:53:00.557,14.34,0.00,3.00,24564.00
4.496,2025/09/20 02:53:00.657,14.34,0.00,3.00,24564.00
4.597,2025/09/20 02:53:00.758,14.34,0.00,3.00,24564.00
4.697,2025/09/20 02:53:00.859,14.34,0.00,3.00,24564.00
4.797,2025/09/20 02:53:00.959,14.34,0.00,3.00,24564.00
4.899,2025/09/20 02:53:01.060,14.34,0.00,3.00,24564.00
4.999,2025/09/20 02:53:01.160,14.34,0.00,3.00,24564.00
5.100,2025/09/20 02:53:01.261,14.34,0.00,3.00,24564.00
5.200,2025/09/20 02:53:01.361,14.11,0.00,3.00,24564.00
5.301,2025/09/20 02:53:01.462,14.11,0.00,3.00,24564.00
5.402,2025/09/20 02:53:01.562,14.11,0.00,3.00,24564.00
5.501,2025/09/20 02:53:01.663,14.11,0.00,3.00,24564.00
5.603,2025/09/20 02:53:01.764,14.11,0.00,3.00,24564.00
5.703,2025/09/20 02:53:01.864,14.11,0.00,3.00,24564.00
