t_local_s,timestamp,power_W,util_pct,mem_used_MB,mem_total_MB
0.013,2025/09/23 17:51:41.562,77.9,0.0,21399.0,24564.0
0.152,2025/09/23 17:51:41.664,77.3,23.0,21403.0,24564.0
0.252,2025/09/23 17:51:41.803,97.6,23.0,21403.0,24564.0
0.353,2025/09/23 17:51:41.904,117.7,98.0,21403.0,24564.0
0.492,2025/09/23 17:51:42.005,158.9,98.0,21403.0,24564.0
0.592,2025/09/23 17:51:42.143,179.7,98.0,21403.0,24564.0
0.693,2025/09/23 17:51:42.244,200.1,98.0,21403.0,24564.0
0.832,2025/09/23 17:51:42.344,220.8,98.0,21403.0,24564.0
0.933,2025/09/23 17:51:42.484,226.5,98.0,21403.0,24564.0
1.033,2025/09/23 17:51:42.584,231.8,98.0,21403.0,24564.0
1.166,2025/09/23 17:51:42.685,294.0,98.0,21403.0,24564.0
1.267,2025/09/23 17:51:42.817,294.3,98.0,21403.0,24564.0
1.367,2025/09/23 17:51:42.918,294.4,98.0,21403.0,24564.0
1.502,2025/09/23 17:51:43.019,294.4,98.0,21403.0,24564.0
1.603,2025/09/23 17:51:43.153,294.4,98.0,21403.0,24564.0
1.704,2025/09/23 17:51:43.254,294.3,98.0,21403.0,24564.0
1.839,2025/09/23 17:51:43.355,294.3,98.0,21403.0,24564.0
1.940,2025/09/23 17:51:43.491,294.3,98.0,21403.0,24564.0
2.041,2025/09/23 17:51:43.592,294.3,98.0,21403.0,24564.0
2.184,2025/09/23 17:51:43.693,294.3,98.0,21403.0,24564.0
2.285,2025/09/23 17:51:43.836,293.6,95.0,21403.0,24564.0
2.386,2025/09/23 17:51:43.936,293.6,95.0,21403.0,24564.0
2.523,2025/09/23 17:51:44.037,293.6,98.0,21403.0,24564.0
2.624,2025/09/23 17:51:44.174,293.6,98.0,21403.0,24564.0
2.725,2025/09/23 17:51:44.275,293.6,98.0,21403.0,24564.0
2.825,2025/09/23 17:51:44.376,293.8,98.0,21403.0,24564.0
2.926,2025/09/23 17:51:44.477,293.9,98.0,21403.0,24564.0
3.037,2025/09/23 17:51:44.577,294.1,98.0,21403.0,24564.0
3.137,2025/09/23 17:51:44.688,294.2,98.0,21403.0,24564.0
3.238,2025/09/23 17:51:44.789,294.2,98.0,21403.0,24564.0
3.375,2025/09/23 17:51:44.889,295.2,98.0,21403.0,24564.0
3.475,2025/09/23 17:51:45.026,295.1,98.0,21403.0,24564.0
3.576,2025/09/23 17:51:45.127,295.1,98.0,21403.0,24564.0
3.712,2025/09/23 17:51:45.227,294.9,98.0,21403.0,24564.0
3.813,2025/09/23 17:51:45.364,294.8,98.0,21403.0,24564.0
3.913,2025/09/23 17:51:45.464,294.7,98.0,21403.0,24564.0
4.050,2025/09/23 17:51:45.565,294.5,98.0,21403.0,24564.0
4.151,2025/09/23 17:51:45.702,294.4,98.0,21403.0,24564.0
4.251,2025/09/23 17:51:45.802,294.2,98.0,21403.0,24564.0
4.389,2025/09/23 17:51:45.903,293.9,98.0,21403.0,24564.0
4.489,2025/09/23 17:51:46.040,294.7,95.0,21403.0,24564.0
4.590,2025/09/23 17:51:46.141,294.7,95.0,21403.0,24564.0
4.730,2025/09/23 17:51:46.242,294.8,98.0,21403.0,24564.0
4.830,2025/09/23 17:51:46.381,294.9,98.0,21403.0,24564.0
4.931,2025/09/23 17:51:46.482,295.2,98.0,21403.0,24564.0
5.068,2025/09/23 17:51:46.582,295.3,98.0,21403.0,24564.0
5.168,2025/09/23 17:51:46.719,295.3,98.0,21403.0,24564.0
5.269,2025/09/23 17:51:46.820,295.4,98.0,21403.0,24564.0
5.409,2025/09/23 17:51:46.920,295.4,98.0,21403.0,24564.0
5.510,2025/09/23 17:51:47.061,295.6,98.0,21403.0,24564.0
5.610,2025/09/23 17:51:47.161,294.6,98.0,21403.0,24564.0
5.711,2025/09/23 17:51:47.262,294.5,98.0,21403.0,24564.0
5.812,2025/09/23 17:51:47.362,294.2,98.0,21403.0,24564.0
5.928,2025/09/23 17:51:47.463,294.1,98.0,21403.0,24564.0
6.028,2025/09/23 17:51:47.579,294.0,98.0,21403.0,24564.0
