t_local_s,timestamp,power_W,util_pct,mem_used_MB,mem_total_MB
0.010,2025/09/23 19:35:26.235,71.8,0.0,21399.0,24564.0
0.111,2025/09/23 19:35:26.335,73.8,26.0,21403.0,24564.0
0.212,2025/09/23 19:35:26.437,94.5,26.0,21403.0,24564.0
0.313,2025/09/23 19:35:26.537,115.3,98.0,21403.0,24564.0
0.413,2025/09/23 19:35:26.638,136.2,98.0,21403.0,24564.0
0.514,2025/09/23 19:35:26.739,157.0,98.0,21403.0,24564.0
0.614,2025/09/23 19:35:26.839,177.8,98.0,21403.0,24564.0
0.715,2025/09/23 19:35:26.940,198.8,98.0,21403.0,24564.0
0.815,2025/09/23 19:35:27.040,219.6,98.0,21403.0,24564.0
0.916,2025/09/23 19:35:27.141,240.5,98.0,21403.0,24564.0
1.016,2025/09/23 19:35:27.241,244.8,98.0,21403.0,24564.0
1.117,2025/09/23 19:35:27.342,292.4,98.0,21403.0,24564.0
1.217,2025/09/23 19:35:27.442,292.6,98.0,21403.0,24564.0
1.318,2025/09/23 19:35:27.543,292.8,98.0,21403.0,24564.0
1.418,2025/09/23 19:35:27.643,292.8,98.0,21403.0,24564.0
1.519,2025/09/23 19:35:27.744,292.7,98.0,21403.0,24564.0
1.619,2025/09/23 19:35:27.844,292.5,98.0,21403.0,24564.0
1.720,2025/09/23 19:35:27.945,292.4,98.0,21403.0,24564.0
1.820,2025/09/23 19:35:28.045,292.2,98.0,21403.0,24564.0
1.921,2025/09/23 19:35:28.145,292.1,98.0,21403.0,24564.0
2.021,2025/09/23 19:35:28.246,292.0,98.0,21403.0,24564.0
2.122,2025/09/23 19:35:28.346,291.9,98.0,21403.0,24564.0
2.222,2025/09/23 19:35:28.447,291.8,98.0,21403.0,24564.0
2.323,2025/09/23 19:35:28.547,290.9,95.0,21403.0,24564.0
2.423,2025/09/23 19:35:28.648,290.8,95.0,21403.0,24564.0
2.524,2025/09/23 19:35:28.749,290.7,98.0,21403.0,24564.0
2.624,2025/09/23 19:35:28.849,290.9,98.0,21403.0,24564.0
2.725,2025/09/23 19:35:28.950,291.2,98.0,21403.0,24564.0
2.825,2025/09/23 19:35:29.050,291.5,98.0,21403.0,24564.0
